country,location_name,uv_index,Continent,day
Afghanistan,Kabul,7,Asia,29
Albania,Tirana,6,Europe,29
Algeria,Algiers,7,Africa,29
Andorra,Andorra La Vella,4,Europe,29
Angola,Luanda,6,Africa,29
Antigua and Barbuda,Saint John's,1,America,29
Argentina,Buenos Aires,1,America,29
Armenia,Yerevan,8,Asia,29
Australia,Canberra,1,Australia,29
Austria,Vienna,4,Europe,29
Azerbaijan,Baku,7,Asia,29
Bahamas,Nassau,1,America,29
Bahrain,Manama,9,Asia,29
Bangladesh,Dhaka,7,Asia,29
Barbados,Bridgetown,1,America,29
Belarus,Minsk,6,Europe,29
Belgium,Brussels,5,Europe,29
Belize,Belmopan,1,America,29
Benin,Porto-Novo,6,Africa,29
Bhutan,Thimphu,4,Asia,29
Bolivia,Sucre,1,America,29
Bosnia and Herzegovina,Sarajevo,6,Europe,29
Botswana,Gaborone,5,Africa,29
Brazil,Bras,1,America,29
Brunei Darussalam,Bandar Seri Begawan,6,Asia,29
Bulgaria,Sofia,6,Europe,29
Burkina Faso,Ouagadougou,7,Africa,29
Burundi,Bujumbura,7,Africa,29
Madagascar,Ivory,6,Indian,29
Cape Verde,Praia,7,Atlantic,29
Cambodia,Phnom Penh,8,Asia,29
Cameroon,Bafoussam,5,Africa,29
Canada,Ottawa,1,America,29
Central African Republic,Bangui,7,Africa,29
Chad,N'djamena,7,Africa,29
Chile,Santiago,1,America,29
China,Beijing,7,Asia,29
Bulgaria,Bogot,9,Europe,29
Comoros,Moroni,5,Indian,29
Congo,Brazzaville,8,Africa,29
Costa Rica,San Juan,1,America,29
Croatia,Zagreb,6,Europe,29
Cuba,Havana,1,America,29
Cyprus,Nicosia,8,Asia,29
Czech Republic,Prague,3,Europe,29
Democratic Republic of Congo,Kinshasa,8,Africa,29
Denmark,Copenhagen,5,Europe,29
Djibouti,Djibouti,9,Africa,29
Dominica,Roseau,1,America,29
Dominican Republic,Santo Domingo,1,America,29
Ecuador,Quito,1,America,29
Egypt,Cairo,1,Africa,29
El Salvador,San Salvador,1,America,29
Equatorial Guinea,Malabo,6,Africa,29
Eritrea,Asmara,6,Africa,29
Estonia,Tallinn,5,Europe,29
Swaziland,Mbabane,5,Africa,29
Ethiopia,Addis Ababa,3,Africa,29
Fiji Islands,Suva,1,Pacific,29
Finland,Helsinki,5,Europe,29
France,Paris,6,Europe,29
Gabon,Libreville,6,Africa,29
Gambia,Banjul,6,Africa,29
Georgia,Tbilisi,7,Asia,29
Germany,Berlin,3,Europe,29
Ghana,Accra,7,Africa,29
Greece,Athens,8,Europe,29
Grenada,Saint George's,1,America,29
Guatemala,Guatemala City,1,America,29
Guinea,Conakry,5,Africa,29
Guinea-Bissau,Bissau,6,Africa,29
Guyana,Georgetown,1,America,29
Haiti,Port-Au-Prince,1,America,29
Vatican City,Vatican City,5,Europe,29
Honduras,Tegucigalpa,1,America,29
Hungary,Budapest,5,Europe,29
Iceland,Hella,3,Atlantic,29
India,New Delhi,9,Asia,29
Indonesia,Jakarta,8,Asia,29
Iran,Tehran,8,Asia,29
Iraq,Baghdad,9,Asia,29
Ireland,Dublin,4,Europe,29
Israel,Jerusalem,7,Asia,29
Italy,Rome,5,Europe,29
Jamaica,Norman Gardens,1,America,29
Japan,Tokyo,7,Asia,29
Jordan,Amman,7,Asia,29
Kazakhstan,Astana,5,Asia,29
Kenya,Nairobi,6,Africa,29
Kiribati,Tarawa,1,Pacific,29
Kuwait,Kuwait City,9,Asia,29
Kyrghyzstan,Bishkek,7,Asia,29
Indonesia,Laos,7,Asia,29
Latvia,Riga,5,Europe,29
Lebanon,Beirut,7,Asia,29
Lesotho,Maseru,5,Africa,29
Liberia,Monrovia,6,Africa,29
Thailand,Nan,6,Asia,29
Liechtenstein,Vaduz,2,Europe,29
Lithuania,Vilnius,5,Europe,29
Luxembourg,Luxembourg,4,Europe,29
Madagascar,Antananarivo,4,Indian,29
Malawi,Lilongwe,6,Africa,29
Malaysia,Kuala Lumpur,6,Asia,29
Maldives,Farukolhufunadhoo,6,Indian,29
Mali,Bamako,5,Africa,29
Malta,Valletta,7,Europe,29
Marshall Islands,Majuro,1,Pacific,29
Mauritania,Nouakchott,7,Africa,29
Mauritius,Port Louis,7,Indian,29
Mexico,Mexico City,1,America,29
Micronesia,Palikir,1,Pacific,29
Russia,Chi-Chi-Erh,8,Asia,29
Monaco,Monaco,6,Europe,29
Mongolia,Ulaanbaatar,4,Asia,29
Montenegro,Podgorica,5,Europe,29
Morocco,Rabat,6,Africa,29
Mozambique,Maputo,5,Africa,29
Myanmar,Pathein,8,Asia,29
Namibia,Windhoek,7,Africa,29
Turkey,Yaren,8,Europe,29
Nepal,Kathmandu,5,Asia,29
Netherlands,Amsterdam,5,Europe,29
New Zealand,Wellington,1,Pacific,29
Nicaragua,Managua,1,America,29
Niger,Niamey,8,Africa,29
Nigeria,Abuja,6,Africa,29
North Korea,Pyongyang,5,Asia,29
Macedonia,Skopje,8,Europe,29
Norway,Oslo,4,Europe,29
Oman,Muscat,8,Asia,29
Pakistan,Islamabad,8,Asia,29
Palau,Adkip,1,Pacific,29
Bolivia,National,1,America,29
Panama,Panama City,1,America,29
Papua New Guinea,Port Moresby,1,Pacific,29
Paraguay,Carreria,1,America,29
Peru,Lima,1,America,29
Philippines,Manila,6,Asia,29
Poland,Warsaw,7,Europe,29
Portugal,Lisbon,6,Europe,29
Qatar,Doha,9,Asia,29
Romania,Bucharest,9,Europe,29
Russia,Moscow,3,Europe,29
Rwanda,Kigali,7,Africa,29
Saint Kitts and Nevis,Basseterre,1,America,29
Saint Lucia,Castries,1,America,29
Saint Vincent and the Grenadines,Kingstown,1,America,29
Samoa,Apia,1,Pacific,29
San Marino,San Marino,6,Europe,29
Belgium,'S-Gravenwezel,5,Europe,29
Saudi Arabia,Riyadh,10,Asia,29
Senegal,Dakar,6,Africa,29
Serbia,Belgrade,5,Europe,29
Seychelles Islands,Victoria,6,Indian,29
Sierra Leone,Freetown,6,Africa,29
Singapore,Singapore,6,Asia,29
Slovakia,Bratislava,4,Europe,29
Slovenia,Ljubljana,4,Europe,29
Solomon Islands,Honiara,1,Pacific,29
Somalia,Mogadishu,7,Africa,29
South Africa,Pretoria,5,Africa,29
South Korea,Seoul,1,Asia,29
Sudan,Juba,8,Africa,29
Spain,Madrid,6,Europe,29
Sri Lanka,Colombo,6,Asia,29
Sudan,Khartoum,8,Africa,29
Suriname,Paramaribo,1,America,29
Sweden,Stockholm,5,Europe,29
Switzerland,Bern,4,Europe,29
Syria,Damascus,8,Asia,29
Tajikistan,Dushanbe,8,Asia,29
Tanzania,Dodoma,6,Africa,29
Thailand,Bangkok,7,Asia,29
Indonesia,Murong Timor,8,Asia,29
Bulgaria,Lom,8,Europe,29
Tonga,Nuku`Aloia,1,Pacific,29
Trinidad and Tobago,Port Of Spain,1,America,29
Tunisia,Tunis,7,Africa,29
Turkey,Ankara,7,Europe,29
Turkmenistan,Ashgabat,8,Asia,29
Tuvalu,Funafuti,1,Pacific,29
Uganda,Kampala,6,Africa,29
Ukraine,Lviv,7,Europe,29
United Arab Emirates,Abu Dhabi,9,Asia,29
United Kingdom,London,5,Europe,29
United States of America,Washington Park,1,America,29
Uruguay,Montevideo,1,America,29
Uzbekistan,Tashkent,8,Asia,29
Vanuatu,Port Vila,1,Pacific,29
Venezuela,Caracas,1,America,29
Vietnam,Hanoi,8,Asia,29
Yemen,Sanaa,6,Asia,29
Zambia,Lusaka,5,Africa,29
Zimbabwe,Harare,5,Africa,29
Afghanistan,Kabul,6,Asia,30
Albania,Tirana,1,Europe,30
Algeria,Algiers,1,Africa,30
Andorra,Andorra La Vella,1,Europe,30
Angola,Luanda,1,Africa,30
Antigua and Barbuda,Saint John's,1,America,29
Argentina,Buenos Aires,1,America,29
Armenia,Yerevan,5,Asia,30
Australia,Canberra,5,Australia,30
Austria,Vienna,1,Europe,30
Azerbaijan,Baku,1,Asia,30
Bahamas,Nassau,1,America,29
Bahrain,Manama,1,Asia,30
Bangladesh,Dhaka,8,Asia,30
Barbados,Bridgetown,1,America,29
Belarus,Minsk,1,Europe,30
Belgium,Brussels,1,Europe,30
Belize,Belmopan,1,America,29
Benin,Porto-Novo,1,Africa,30
Bhutan,Thimphu,5,Asia,30
Bolivia,Sucre,1,America,29
Bosnia and Herzegovina,Sarajevo,1,Europe,30
Botswana,Gaborone,1,Africa,30
Brazil,Bras,1,America,29
Brunei Darussalam,Bandar Seri Begawan,8,Asia,30
Bulgaria,Sofia,1,Europe,30
