country,last_updated,uv_index,Continent,month_name,year_name
Afghanistan,29/08/2023 14:00,7,Asia,August,2023
Albania,29/08/2023 11:30,6,Europe,August,2023
Algeria,29/08/2023 10:30,7,Africa,August,2023
Andorra,29/08/2023 11:30,4,Europe,August,2023
Angola,29/08/2023 10:30,6,Africa,August,2023
Antigua and Barbuda,29/08/2023 05:30,1,America,August,2023
Argentina,29/08/2023 06:30,1,America,August,2023
Armenia,29/08/2023 13:30,8,Asia,August,2023
Australia,29/08/2023 19:30,1,Australia,August,2023
Austria,29/08/2023 11:30,4,Europe,August,2023
Azerbaijan,29/08/2023 13:30,7,Asia,August,2023
Bahamas,29/08/2023 05:30,1,America,August,2023
Bahrain,29/08/2023 12:30,9,Asia,August,2023
Bangladesh,29/08/2023 15:30,7,Asia,August,2023
Barbados,29/08/2023 05:30,1,America,August,2023
Belarus,29/08/2023 12:30,6,Europe,August,2023
Belgium,29/08/2023 11:30,5,Europe,August,2023
Belize,29/08/2023 03:30,1,America,August,2023
Benin,29/08/2023 10:30,6,Africa,August,2023
Bhutan,29/08/2023 15:30,4,Asia,August,2023
Bolivia,29/08/2023 05:30,1,America,August,2023
Bosnia and Herzegovina,29/08/2023 11:30,6,Europe,August,2023
Botswana,29/08/2023 11:30,5,Africa,August,2023
Brazil,29/08/2023 05:30,1,America,August,2023
Brunei Darussalam,29/08/2023 17:30,6,Asia,August,2023
Bulgaria,29/08/2023 12:30,6,Europe,August,2023
Burkina Faso,29/08/2023 09:30,7,Africa,August,2023
Burundi,29/08/2023 11:30,7,Africa,August,2023
Madagascar,29/08/2023 12:30,6,Indian,August,2023
Cape Verde,29/08/2023 08:30,7,Atlantic,August,2023
Cambodia,29/08/2023 16:30,8,Asia,August,2023
Cameroon,29/08/2023 10:30,5,Africa,August,2023
Canada,29/08/2023 05:30,1,America,August,2023
Central African Republic,29/08/2023 10:30,7,Africa,August,2023
Chad,29/08/2023 10:30,7,Africa,August,2023
Chile,29/08/2023 05:30,1,America,August,2023
China,29/08/2023 17:30,7,Asia,August,2023
Bulgaria,29/08/2023 12:30,9,Europe,August,2023
Comoros,29/08/2023 12:30,5,Indian,August,2023
Congo,29/08/2023 10:30,8,Africa,August,2023
Costa Rica,29/08/2023 03:30,1,America,August,2023
Croatia,29/08/2023 11:30,6,Europe,August,2023
Cuba,29/08/2023 05:30,1,America,August,2023
Cyprus,29/08/2023 12:30,8,Asia,August,2023
Czech Republic,29/08/2023 11:30,3,Europe,August,2023
Democratic Republic of Congo,29/08/2023 10:30,8,Africa,August,2023
Denmark,29/08/2023 11:30,5,Europe,August,2023
Djibouti,29/08/2023 12:30,9,Africa,August,2023
Dominica,29/08/2023 05:30,1,America,August,2023
Dominican Republic,29/08/2023 05:30,1,America,August,2023
Ecuador,29/08/2023 04:30,1,America,August,2023
Egypt,29/08/2023 12:30,1,Africa,August,2023
El Salvador,29/08/2023 03:30,1,America,August,2023
Equatorial Guinea,29/08/2023 10:30,6,Africa,August,2023
Eritrea,29/08/2023 12:30,6,Africa,August,2023
Estonia,29/08/2023 12:30,5,Europe,August,2023
Swaziland,29/08/2023 11:30,5,Africa,August,2023
Ethiopia,29/08/2023 12:30,3,Africa,August,2023
Fiji Islands,29/08/2023 21:30,1,Pacific,August,2023
Finland,29/08/2023 12:30,5,Europe,August,2023
France,29/08/2023 11:30,6,Europe,August,2023
Gabon,29/08/2023 10:30,6,Africa,August,2023
