air_quality_PM2_5,air_quality_us_epa_index,month_name
7.9,1,August
28.2,2,August
6.4,1,August
0.5,1,August
139.6,4,August
0.8,1,August
2.1,1,August
5,1,August
4,1,August
13.1,1,August
5.6,1,August
1.4,1,August
69.3,4,August
84.8,4,August
1.6,1,August
2.1,1,August
16.6,2,August
2.8,1,August
13.4,1,August
7.3,1,August
3.2,1,August
8.4,1,August
17.4,2,August
2.4,1,August
2.1,1,August
9.2,1,August
18.4,2,August
7.2,1,August
1.2,1,August
29,2,August
2,1,August
20.5,2,August
3.7,1,August
0.5,1,August
9.5,1,August
496.2,6,August
26.2,2,August
4.4,1,August
6.9,1,August
7.8,1,August
44.3,3,August
7.2,1,August
2.6,1,August
13,1,August
3,1,August
7.8,1,August
1.2,1,August
9.2,1,August
1.1,1,August
15.3,1,August
17.5,2,August
39,2,August
17.1,2,August
2.7,1,August
10.4,1,August
3.1,1,August
16.3,2,August
15.7,2,August
1.5,1,August
4,1,August
6,1,August
6.8,1,August
1.2,1,August
4.5,1,August
5.1,1,August
5.8,1,August
23.4,2,August
1.4,1,August
93.4,4,August
0.6,1,August
1.4,1,August
0.8,1,August
6.9,1,August
3.4,1,August
1.1,1,August
13.9,1,August
0.6,1,August
33.2,2,August
107,4,August
24.1,2,August
22.1,2,August
2.1,1,August
13.6,1,August
3.4,1,August
3.1,1,August
6.6,1,August
15.2,1,August
3.1,1,August
8.5,1,August
0.5,1,August
45.7,3,August
2,1,August
11.7,1,August
4.3,1,August
15.8,2,August
69.6,4,August
2.8,1,August
8.3,1,August
4.3,1,August
3.6,1,August
4.9,1,August
1.8,1,August
2.2,1,August
126.8,4,August
0.5,1,August
4.3,1,August
3.3,1,August
1,1,August
15.9,2,August
6.9,1,August
15.5,2,August
0.5,1,August
4.6,1,August
0.8,1,August
28.9,2,August
11.9,1,August
8,1,August
8.6,1,August
4,1,August
22.4,2,August
10.3,1,August
32.3,2,August
5.7,1,August
0.5,1,August
22.7,2,August
5,1,August
8.8,1,August
17.2,2,August
25.2,2,August
5.3,1,August
38.2,2,August
88.4,4,August
1.9,1,August
51.3,3,August
5.9,1,August
5.9,1,August
5.2,1,August
13.2,1,August
1.2,1,August
1.9,1,August
4.6,1,August
46.1,3,August
5.8,1,August
4.5,1,August
2.5,1,August
1.2,1,August
2.3,1,August
1.8,1,August
3.3,1,August
1.2,1,August
5.5,1,August
59,3,August
8.9,1,August
14.1,1,August
4.1,1,August
1.6,1,August
23.6,2,August
12.1,1,August
3,1,August
1.3,1,August
7.8,1,August
56.3,3,August
4.9,1,August
8.1,1,August
2.5,1,August
1.5,1,August
13,1,August
1,1,August
2.8,1,August
4.1,1,August
6.9,1,August
2,1,August
1.4,1,August
10,1,August
41.1,3,August
7.5,1,August
1.2,1,August
2.1,1,August
2.4,1,August
13.3,1,August
19,2,August
1.6,1,August
4,1,August
13.3,1,August
82.6,4,August
4,1,August
9.6,1,August
2.8,1,August
7.1,1,August
4.8,1,August
25.6,2,August
12.9,1,August
17.5,2,August
17.3,2,August
17.4,2,August
31.7,2,August
4.5,1,August
5.3,1,August
0.8,1,August
