"wind_kph","Continent","month_name"
11.5,"Asia","August"
6.1,"Europe","August"
13,"Africa","August"
9.7,"Europe","August"
3.6,"Africa","August"
15.1,"America","August"
11.2,"America","August"
9,"Asia","August"
15.1,"Australia","August"
19.1,"Europe","August"
22,"Asia","August"
14.4,"America","August"
13,"Asia","August"
5.4,"Asia","August"
25.9,"America","August"
11.2,"Europe","August"
6.1,"Europe","August"
6.8,"America","August"
16.9,"Africa","August"
8.6,"Asia","August"
3.6,"America","August"
29.9,"Europe","August"
15.1,"Africa","August"
5,"America","August"
11.2,"Asia","August"
15.1,"Europe","August"
6.8,"Africa","August"
16.9,"Africa","August"
10.1,"Indian","August"
15.1,"Atlantic","August"
11.2,"Asia","August"
3.6,"Africa","August"
6.8,"America","August"
3.6,"Africa","August"
19.1,"Africa","August"
6.1,"America","August"
6.8,"Asia","August"
11.9,"Europe","August"
24.1,"Indian","August"
9,"Africa","August"
6.1,"America","August"
3.6,"Europe","August"
15.1,"America","August"
11.2,"Asia","August"
9,"Europe","August"
9,"Africa","August"
6.8,"Europe","August"
15.1,"Africa","August"
19.8,"America","August"
6.8,"America","August"
6.8,"America","August"
19.1,"Africa","August"
6.8,"America","August"
8.6,"Africa","August"
17.3,"Africa","August"
16.9,"Europe","August"
3.6,"Africa","August"
13,"Africa","August"
13,"Pacific","August"
19.1,"Europe","August"
11.2,"Europe","August"
8.3,"Africa","August"
15.1,"Africa","August"
13,"Asia","August"
15.1,"Europe","August"
11.2,"Africa","August"
11.2,"Europe","August"
20.2,"America","August"
3.6,"America","August"
6.8,"Africa","August"
11.2,"Africa","August"
3.6,"America","August"
15.1,"America","August"
3.6,"Europe","August"
6.1,"America","August"
11.2,"Europe","August"
6.8,"Atlantic","August"
6.8,"Asia","August"
25.9,"Asia","August"
15.1,"Asia","August"
11.2,"Asia","August"
22,"Europe","August"
20.2,"Asia","August"
3.6,"Europe","August"
22,"America","August"
15.1,"Asia","August"
19.1,"Asia","August"
31,"Asia","August"
16.9,"Africa","August"
16.6,"Pacific","August"
3.6,"Asia","August"
9.7,"Asia","August"
12.2,"Asia","August"
9,"Europe","August"
24.1,"Asia","August"
4.3,"Africa","August"
3.6,"Africa","August"
3.6,"Asia","August"
6.8,"Europe","August"
13,"Europe","August"
11.2,"Europe","August"
24.1,"Indian","August"
19.1,"Africa","August"
3.6,"Asia","August"
42.8,"Indian","August"
13,"Africa","August"
20.2,"Europe","August"
11.2,"Pacific","August"
19.8,"Africa","August"
15.1,"Indian","August"
11.2,"America","August"
6.1,"Pacific","August"
20.5,"Asia","August"
20.2,"Europe","August"
11.2,"Asia","August"
3.6,"Europe","August"
11.2,"Africa","August"
16.9,"Africa","August"
16.6,"Asia","August"
6.1,"Africa","August"
3.6,"Europe","August"
11.2,"Asia","August"
15.1,"Europe","August"
19.1,"Pacific","August"
3.6,"America","August"
19.1,"Africa","August"
11.2,"Africa","August"
10.1,"Asia","August"
3.6,"Europe","August"
29.9,"Europe","August"
24.1,"Asia","August"
5.8,"Asia","August"
19.1,"Pacific","August"
3.6,"America","August"
6.1,"America","August"
28.4,"Pacific","August"
4.7,"America","August"
10.8,"America","August"
20.2,"Asia","August"
6.8,"Europe","August"
3.6,"Europe","August"
19.1,"Asia","August"
16.9,"Europe","August"
15.1,"Europe","August"
22,"Africa","August"
16.9,"America","August"
25.9,"America","August"
29.2,"America","August"
20.2,"Pacific","August"
15.1,"Europe","August"
6.8,"Europe","August"
9,"Asia","August"
6.8,"Africa","August"
19.1,"Europe","August"
35.3,"Indian","August"
3.6,"Africa","August"
11.2,"Asia","August"
13,"Europe","August"
11.2,"Europe","August"
6.8,"Pacific","August"
28.1,"Africa","August"
6.8,"Africa","August"
6.8,"Asia","August"
15.8,"Africa","August"
6.1,"Europe","August"
29.9,"Asia","August"
29.2,"Africa","August"
3.6,"America","August"
16.9,"Europe","August"
3.6,"Europe","August"
19.1,"Asia","August"
11.2,"Asia","August"
24.1,"Africa","August"
11.2,"Asia","August"
13.7,"Asia","August"
7.2,"Europe","August"
15.1,"Pacific","August"
3.6,"America","August"
24.1,"Africa","August"
3.6,"Europe","August"
19.1,"Asia","August"
9,"Pacific","August"
24.1,"Africa","August"
12.6,"Europe","August"
11.2,"Asia","August"
13,"Europe","August"
15.1,"America","August"
11.2,"America","August"
15.1,"Asia","August"
19.1,"Pacific","August"
11.2,"America","August"
11.2,"Asia","August"
6.5,"Asia","August"
19.1,"Africa","August"
16.9,"Africa","August"
3.6,"Asia","August"
6.1,"Europe","August"
3.6,"Africa","August"
7.6,"Europe","August"
11.2,"Africa","August"
16.9,"America","August"
15.1,"America","August"
6.1,"Asia","August"
15.1,"Australia","August"
15.1,"Europe","August"
22,"Asia","August"
20.2,"America","August"
9,"Asia","August"
3.6,"Asia","August"
25.9,"America","August"
6.8,"Europe","August"
9,"Europe","August"
4.3,"America","August"
19.1,"Africa","August"
5.4,"Asia","August"
6.8,"America","August"
3.6,"Europe","August"
9,"Africa","August"
5.4,"America","August"
13,"Asia","August"
6.8,"Europe","August"
17.6,"Africa","August"
3.6,"Africa","August"
4.7,"Indian","August"
11.2,"Atlantic","August"
13,"Asia","August"
4.7,"Africa","August"
9,"America","August"
3.6,"Africa","August"
16.9,"Africa","August"
16.9,"America","August"
3.6,"Asia","August"
5.8,"Europe","August"
24.1,"Indian","August"
6.8,"Africa","August"
6.8,"America","August"
6.8,"Europe","August"
15.1,"America","August"
6.8,"Asia","August"
11.2,"Europe","August"
6.8,"Africa","August"
6.1,"Europe","August"
11.2,"Africa","August"
19.8,"America","August"
3.6,"America","August"
6.8,"America","August"
6.1,"Africa","August"
3.6,"America","August"
